aaa,9475677,8359,175,298
aab,9801087,8313,76,227
aac,9943626,7756,298,598
aad,9969859,9870,216,539
aae,9771938,10240,206,380
aaf,9974760,9006,51,178
aag,9731509,9247,155,349
aba,9996867,8014,49,152
abb,9600109,9580,102,182
abc,9829497,9314,30,76
abd,9786689,8649,400,725
abe,9826291,8371,54,140
abf,9804593,8835,30,60
abg,9923682,9800,116,251
aca,9814924,9619,114,322
acb,9967177,9089,37,64
acc,9948702,8147,91,137
acd,9849633,8724,57,91
ace,9972796,9359,87,158
acf,9946313,7746,21,46
acg,9961973,9980,64,176
ada,9448613,9467,66,148
adb,9896204,8124,88,242
adc,9760545,6780,14,32
add,9530353,9510,292,592
ade,9991415,9718,146,227
adf,9858217,7859,11,36
adg,9798213,8195,6,14
aea,9953646,10200,32,56
aeb,9829628,7689,10,31
aec,9781056,9693,280,490
aed,9606519,7942,137,326
aee,9915173,8359,81,193
aef,9378650,9721,120,202
aeg,9930118,7265,105,200
afa,9950267,7015,97,213
afb,9925952,8455,41,67
afc,9880162,8635,122,198
afd,9929813,9528,66,132
afe,9808200,11641,173,441
aff,9368747,9785,113,286
afg,9770101,8154,98,288
aga,9678953,7202,420,606
agb,9934185,10890,88,239
agc,9561877,8216,24,47
agd,9975041,10288,95,210
age,9763024,8213,52,116
agf,9984551,9173,599,1224
agg,9551252,9260,145,224
baa,9879295,10287,87,177
bab,9824005,7530,40,91
bac,9958178,8879,60,164
bad,9885715,9815,205,387
bae,9859274,8376,51,102
baf,9599846,9153,372,641
bag,9937186,7587,215,354
bba,9702119,8384,95,158
bbb,9950107,10070,186,360
bbc,9949465,8069,45,72
bbd,9894715,9372,29,125
bbe,9760127,8907,23,79
bbf,9901398,10855,132,278
bbg,9707717,9226,93,223
bca,9993291,8347,106,202
bcb,9599781,10015,210,403
bcc,9687677,6770,37,69
bcd,9973090,10869,92,182
bce,9752598,8981,353,607
bcf,9989464,9992,134,261
bcg,9997045,8078,147,280
bda,9870306,9096,157,207
bdb,9963442,8661,54,103
bdc,9802413,8632,9,29
bdd,9745591,9921,168,254
bde,9966857,9637,63,114
bdf,9990642,10307,193,273
bdg,9429575,9873,59,112
bea,9978433,8539,259,561
beb,9669720,8659,39,132
bec,9984826,9122,172,330
bed,9957092,8951,45,88
bee,9888522,9286,65,244
bef,9883537,7704,392,592
beg,9945473,9366,44,62
bfa,9864121,8414,5,7
bfb,9943462,9578,147,274
bfc,9996196,8675,108,167
bfd,9593127,9367,152,266
bfe,9977477,9724,115,287
bff,9211194,7721,192,289
bfg,9951628,8973,57,83
bga,9969847,8374,114,225
bgb,9581979,9142,130,292
bgc,9771492,8610,58,140
bgd,9992878,9378,47,95
bge,9589775,10014,201,405
bgf,9373295,9038,160,440
bgg,9692251,9334,99,285
caa,9912654,10355,125,200
cab,9807296,8458,38,117
cac,9946501,8662,29,71
cad,9467811,8829,161,296
cae,9783741,9116,190,257
caf,9842050,10553,34,129
cag,9774440,8644,63,202
cba,9866977,10396,65,115
cbb,9848267,10843,79,109
cbc,9984436,9941,131,281
cbd,9881473,9114,170,299
cbe,9878707,8617,215,297
cbf,9951811,7758,261,355
cbg,9901096,9471,113,193
cca,9929167,9435,103,248
ccb,9847818,8463,30,76
ccc,9919795,7889,155,345
ccd,9851084,8685,106,225
cce,9821753,7505,133,230
ccf,9931062,9680,8,19
ccg,9890961,9474,39,58
cda,9925106,7915,115,164
cdb,9861758,9759,112,190
cdc,9455563,10156,58,281
cdd,9963680,7653,20,87
cde,9931003,9717,91,195
cdf,9960554,8666,169,241
cdg,9812295,10189,88,241
cea,9628577,10301,177,415
ceb,9625240,9850,9,32
cec,9806840,8246,6,14
ced,9951369,7215,181,259
cee,9961218,7934,137,202
cef,9991320,7278,107,298
ceg,9768848,9069,50,111
cfa,9901417,8520,205,304
cfb,9799989,10695,16,53
cfc,9962244,8857,5,9
cfd,9981309,9959,166,260
cfe,9326029,8810,230,358
cff,9649517,10501,388,736
cfg,9664081,8373,73,153
cga,9991107,9104,151,292
cgb,9806682,9331,80,146
cgc,9966781,9847,31,65
cgd,9739123,7116,286,560
cge,9780006,11017,50,133
cgf,9905500,9360,55,100
cgg,9925140,8117,101,288
daa,9539718,9205,138,246
dab,9642854,9643,112,314
dac,9883184,8952,125,280
dad,9456144,8947,78,168
dae,9749526,9426,177,353
daf,9862382,9044,5,12
dag,9930791,8450,282,390
dba,9992607,8380,103,256
dbb,9724048,8991,142,201
dbc,9809406,10988,59,143
dbd,9928292,8620,53,173
dbe,9999727,9337,79,273
dbf,9909448,7514,181,316
dbg,9812837,8542,70,107
dca,9916700,8297,227,341
dcb,9469185,9143,45,111
dcc,9635385,8523,125,321
dcd,9932000,8386,159,325
dce,9602726,9666,73,141
dcf,9758733,9273,302,507
dcg,9708233,10277,407,716
dda,9862454,9581,286,489
ddb,9816444,7653,12,60
ddc,9866156,8747,68,130
ddd,9574363,9625,5,6
dde,9431355,10685,25,90
ddf,9550925,7580,277,362
ddg,9832783,8109,5,12
dea,9829276,9118,38,82
deb,9989566,10470,314,474
dec,9986628,10196,138,314
ded,9984161,7777,53,77
dee,9802890,10318,256,492
def,9693012,8408,114,247
deg,9695159,9392,134,232
dfa,9987158,9818,53,96
dfb,9898756,7801,47,113
dfc,9806315,8721,13,30
dfd,9887077,10290,67,123
dfe,9970687,7495,96,142
dff,9968490,9206,68,136
dfg,9958328,7666,100,254
dga,9884032,11499,149,276
dgb,9926584,8872,77,202
dgc,9911323,8645,43,97
dgd,9981741,9248,75,148
dge,9606269,8712,43,97
dgf,9511932,9028,133,302
dgg,9897903,8893,82,151
eaa,9807948,12528,17,42
eab,9847119,9088,609,968
eac,9427575,9453,108,250
ead,9989804,9832,41,62
eae,9718255,8593,23,54
eaf,9981757,9860,124,178
eag,9596628,8727,5,6
eba,9891432,8609,67,112
ebb,9782409,10508,106,205
ebc,9928498,8872,24,84
ebd,9928318,9715,38,155
ebe,9646073,8189,112,298
ebf,9751924,9209,396,852
ebg,9961176,7834,207,296
eca,9966597,8183,56,161
ecb,9940576,8516,328,482
ecc,9881871,9114,106,263
ecd,9636890,9059,42,82
ece,9971791,8841,208,298
ecf,9994986,9856,167,284
ecg,9464144,7797,109,198
eda,9684927,9400,5,12
edb,9824021,8402,38,84
edc,9744578,8356,102,196
edd,9873851,7837,67,180
ede,9937280,9736,162,305
edf,9999577,8059,47,139
edg,9981804,8197,139,248
eea,9923287,9891,5,7
eeb,9940023,9058,173,315
eec,9665783,10222,9,33
eed,9766462,8969,165,256
eee,9966543,9414,144,279
eef,9909086,9102,146,328
eeg,9999381,10159,11,48
efa,9908196,10724,102,174
efb,9898342,9394,147,229
efc,9807508,7144,258,394
efd,9715757,8430,528,906
efe,9904025,8001,90,143
eff,9649835,9980,12,42
efg,9525816,7548,47,110
ega,9998512,6932,109,173
egb,9871111,9343,270,408
egc,9704530,8637,91,229
egd,9904439,9744,248,421
ege,9905755,6405,41,118
egf,9856464,8109,35,76
egg,9993361,8533,8,21
faa,9651423,10392,32,121
fab,9966594,7282,206,322
fac,9845621,9395,26,42
fad,9879908,8224,58,190
fae,9763553,6983,234,361
faf,9777944,10770,194,319
fag,9999652,8318,37,93
fba,9980329,8960,12,24
fbb,9989678,8528,54,90
fbc,9948833,9255,91,299
fbd,9906921,7296,89,278
fbe,9936101,8647,44,156
fbf,9932542,8268,237,452
fbg,9435487,8736,21,79
fca,9826639,10742,81,156
fcb,9918891,9016,211,353
fcc,9971617,9419,111,200
fcd,9814592,9690,11,34
fce,9831596,8607,339,563
fcf,9956027,8584,90,168
fcg,9790627,9471,208,402
fda,9967573,8485,218,425
fdb,9724545,9355,237,395
fdc,9698132,9674,8,17
fdd,9828389,11267,129,252
fde,9707509,8118,6,18
fdf,9466340,9092,89,207
fdg,9913069,8969,38,80
fea,9325292,10762,90,164
feb,9992836,9805,9,37
fec,9824759,8626,9,25
fed,9815189,8396,131,250
fee,9797549,8518,105,287
fef,9863030,9874,5,15
feg,9945794,7921,95,187
ffa,9598369,10458,7,30
ffb,9903246,8320,65,105
ffc,9766698,9363,217,429
ffd,9928036,8411,231,470
ffe,9887094,9581,105,249
fff,9848120,8881,25,55
ffg,9996988,8573,262,475
fga,9877846,7624,34,63
fgb,9972486,9535,169,290
fgc,9704963,9192,331,547
fgd,9825713,7550,104,248
fge,9857748,9952,5,9
fgf,9686039,9989,86,206
fgg,9938393,7866,23,56
gaa,9980387,9298,483,1037
gab,9773874,8422,39,115
gac,9905707,7957,178,243
gad,9956162,10341,10,30
gae,9914750,9363,162,310
gaf,9777916,7761,24,87
gag,9562037,9919,200,298
gba,9862799,7237,516,1192
gbb,9975050,11179,14,49
gbc,9785965,7525,33,66
gbd,9901886,7457,199,336
gbe,9923613,11040,13,33
gbf,9833128,9239,124,257
gbg,9932272,8170,76,198
gca,9797762,8485,103,278
gcb,9763061,8546,24,64
gcc,9940912,8067,152,301
gcd,9897824,8765,171,260
gce,9773311,8348,57,76
gcf,9843871,9080,67,199
gcg,9786088,8336,43,72
gda,9997421,9705,61,153
gdb,9980148,9586,18,47
gdc,9966017,8830,120,328
gdd,9803679,8782,5,8
gde,9977825,8320,104,170
gdf,9660494,8882,19,78
gdg,9987022,8436,105,281
gea,9802939,8861,236,364
geb,9874916,9268,71,168
gec,9812531,9011,103,311
ged,9973333,10518,32,97
gee,9855792,8394,89,132
gef,9936263,8325,33,67
geg,9843044,8040,133,260
gfa,9807977,9739,149,228
gfb,9603330,9691,205,281
gfc,9943962,8683,105,197
gfd,9911451,9565,67,89
gfe,9980300,8567,7,16
gff,9951235,9780,25,44
gfg,9449181,10082,116,194
gga,9748652,7883,205,372
ggb,9931241,9343,74,236
ggc,9985654,9745,7,21
ggd,9727405,8878,391,775
gge,9883285,8321,107,180
ggf,9978727,7894,94,186
ggg,9622555,11105,5,9
